"policy","corruption","rho","seed","eval_seed","n_transitions","open_loop_mse","closed_loop_success","final_dist","wrong_side_rate"
"trees","flailing","1.0","9","12354","13565","0.135788","0.99","0.0387","0.0"
"trees","truncation","0.25","9","12354","11132","0.134116","0.995","0.0427","0.0"
"trees","truncation","0.5","9","12354","10173","0.139241","0.98","0.0456","0.005"
"trees","truncation","0.75","9","12354","9022","0.147604","0.935","0.0462","0.0"
"trees","truncation","0.9","9","12354","8734","0.156937","0.885","0.0546","0.005"
"trees","truncation","1.0","9","12354","8301","0.156943","0.675","0.064","0.005"
"trees","inconsistent_strategy","0.25","9","12354","13756","0.168153","0.93","0.047","0.0"
"trees","inconsistent_strategy","0.5","9","12354","15315","0.200511","0.905","0.0529","0.01"
"trees","inconsistent_strategy","0.75","9","12354","17376","0.248545","0.645","0.0641","0.005"
"trees","inconsistent_strategy","0.9","9","12354","17751","0.279808","0.315","0.0882","0.0"
"trees","inconsistent_strategy","1.0","9","12354","18855","0.319616","0.13","0.1191","0.0"
"trees","occlusion","0.0","8","12353","12130","0.130358","1.0","0.0403","0.0"
"trees","accidental_success","0.0","8","12353","12130","0.130358","1.0","0.0403","0.0"
"trees","flailing","0.0","8","12353","12130","0.130358","1.0","0.0403","0.0"
"trees","truncation","0.0","8","12353","12130","0.130358","1.0","0.0403","0.0"
"trees","inconsistent_strategy","0.0","8","12353","12130","0.130358","1.0","0.0403","0.0"
"trees","occlusion","0.0","9","12354","12070","0.130971","0.985","0.0437","0.005"
"trees","accidental_success","0.0","9","12354","12070","0.130971","0.985","0.0437","0.005"
"trees","flailing","0.0","9","12354","12070","0.130971","0.985","0.0437","0.005"
"trees","truncation","0.0","9","12354","12070","0.130971","0.985","0.0437","0.005"
"trees","inconsistent_strategy","0.0","9","12354","12070","0.130971","0.985","0.0437","0.005"
